t,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6
0.763303,-0.046349279,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.287179487,-0.001953602,-0.001953602,-0.021978022,-0.007326007,-0.007326007
0.769569,-0.052071412,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.287179487,-0.001953602,-0.001953602,-0.021978022,-0.007326007,-0.007326007
0.774687,-0.052071412,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.287179487,-0.001953602,-0.001953602,-0.021978022,-0.007326007,-0.007326007
0.780878,-0.057412070,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.318437118,-0.005860806,-0.001953602,0.007326007,-0.007326007,-0.007326007
0.786072,-0.057412070,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.318437118,-0.005860806,-0.001953602,0.007326007,-0.007326007,-0.007326007
0.792379,-0.063515679,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.345787546,-0.001953602,-0.005860806,-0.021978022,-0.007326007,-0.021978022
0.797498,-0.063515679,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.345787546,-0.001953602,-0.005860806,-0.021978022,-0.007326007,-0.021978022
0.802834,-0.063515679,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.345787546,-0.001953602,-0.005860806,-0.021978022,-0.007326007,-0.021978022
0.808922,-0.069619287,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.341880342,-0.005860806,-0.001953602,-0.021978022,-0.007326007,-0.007326007
0.814100,-0.069619287,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.341880342,-0.005860806,-0.001953602,-0.021978022,-0.007326007,-0.007326007
0.819497,-0.069619287,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.341880342,-0.005860806,-0.001953602,-0.021978022,-0.007326007,-0.007326007
0.825255,-0.076485847,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.365323565,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.021978022
0.830474,-0.076485847,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.365323565,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.021978022
0.835621,-0.076485847,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.365323565,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.021978022
0.841258,-0.083733883,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.380952381,-0.005860806,-0.001953602,-0.021978022,-0.007326007,-0.007326007
0.846425,-0.083733883,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.380952381,-0.005860806,-0.001953602,-0.021978022,-0.007326007,-0.007326007
0.851728,-0.083733883,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.392673993,-0.001953602,0.001953602,-0.007326007,-0.021978022,-0.021978022
0.858116,-0.092507820,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.392673993,-0.001953602,0.001953602,-0.007326007,-0.021978022,-0.021978022
0.863363,-0.092507820,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.392673993,-0.001953602,0.001953602,-0.007326007,-0.021978022,-0.021978022
0.869001,-0.098992905,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.400488400,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.007326007
